Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
0,57.33759308,120.2036819,61.62330627
33,56.92473221,121.9131241,63.61568451
67,56.88828278,122.4483566,64.65935516
100,57.11948395,121.7821503,64.35198975
133,57.16864777,120.901619,63.28276825
167,57.04969406,120.3898468,61.77872086
200,57.29010773,119.8092194,59.8979454
233,57.9269371,119.1852188,58.42902374
267,58.29221344,119.5152817,58.80621338
300,58.21464539,120.7879715,61.14120865
333,58.38297653,121.8163147,63.62512589
367,59.03212357,122.2797318,64.99353027
400,59.46709061,122.3849258,65.36151886
433,59.34043884,121.8805695,65.20444489
467,59.17802429,120.9759293,64.95305634
500,59.24858475,120.4809952,64.93950653
533,59.11906433,120.7133865,65.15682983
567,58.63339615,121.3536758,65.18106079
600,58.32248688,122.0035172,64.64165497
633,58.35185623,122.548111,63.85211182
667,58.15722275,123.1362228,63.5725441
700,57.80719757,123.7231674,64.0512085
733,58.29735184,124.0005951,64.84693909
767,59.71637726,123.9952393,65.43010712
800,60.96096802,124.1760483,65.53372955
833,61.56708527,124.7092819,65.18725586
867,62.0564537,124.9777374,64.70973206
900,62.91284561,124.317955,64.54263306
933,64.08335876,122.9878845,64.94248199
967,65.10005951,121.7530518,65.73293304
1000,65.55056,120.9786224,66.37309265
1033,65.21481323,120.634758,66.59375763
1067,63.9995842,120.6902313,66.66940308
1100,62.45727921,121.1911774,67.00134277
1133,61.63186264,121.9967651,68.04076385
1167,62.16785431,122.8027954,70.08349609
1200,63.89764404,123.6724625,72.77880096
1233,65.85649109,124.025444,74.66650391
1267,67.18123627,122.010498,74.66905212
1300,67.97724915,117.2969971,74.18391418
1333,68.72421265,113.0586319,74.85220337
1367,69.42866516,112.8948898,75.74967957
1400,69.75136566,116.5127258,75.06878662
1433,69.55603027,120.898201,72.94726563
1467,68.9961319,122.5148239,70.78520966
1500,68.08992004,120.1924667,69.86431885
1533,67.07676697,116.803627,71.21871948
1567,66.95924377,115.1224442,74.78661346
1600,68.05967712,114.6229477,78.73795319
1633,69.05427551,114.0206757,80.93521118
1667,68.91695404,113.3208084,81.36019897
1700,68.11419678,113.0955658,81.39176178
1733,67.31348419,113.8128433,81.5552063
1767,66.57854462,115.4527512,81.31495667
1800,65.80687714,117.357811,80.05497742
1833,65.22875214,118.8435974,77.974617
1867,65.31320953,119.7743607,75.93187714
1900,66.1135788,120.3175278,74.58664703
1933,66.99443817,120.5406799,74.46443939
1967,67.23661804,120.2052917,75.90120697
2000,66.99905396,119.2589035,78.49306488
2033,67.23626709,118.5193558,80.97257233
2067,68.17864227,118.6716003,82.28687286
2100,68.83286285,118.9608459,82.41610718
2133,68.12861633,117.3497238,81.91181183
2167,65.9556427,112.3706665,81.41873932
2200,63.50400543,106.0051117,81.17471313
2233,62.57332993,101.7673798,80.76706696
2267,64.10209656,100.6238174,79.66904449
2300,66.98176575,101.6604309,78.05889893
2333,68.90016174,103.9309769,77.25424957
2367,68.99700928,106.0070648,78.26696777
2400,68.76235199,106.2294464,80.11121368
2433,69.59861755,104.8160629,80.99738312
2467,70.89278412,103.3792267,80.90908813
2500,71.92317963,102.3664322,80.77713776
2533,73.01753998,100.7500687,80.67810822
2567,73.93846893,97.49398041,79.65805054
2600,73.04116821,93.21144104,76.86840057
2633,69.32345581,90.46265411,73.93347168
2667,64.27630615,91.38794708,73.25348663
2700,60.83073807,95.60720825,74.09235382
2733,60.6084137,100.5862274,74.7645874
2767,62.67734146,103.5358429,75.22855377
2800,64.80508423,103.6886444,75.9264679
2833,65.69561768,102.7520294,76.59506989
2867,65.63378143,102.5837173,76.7022171
2900,65.30937195,103.4740982,76.34695435
2933,65.20737457,104.3007507,75.87588501
2967,65.91952515,103.566246,74.71348572
3000,67.59112549,101.1867142,72.12516022
3033,68.94421387,99.56024933,69.60630035
3067,68.10710907,101.6304855,69.55073547
3100,64.69783783,107.0946274,71.20894623
3133,60.40192413,111.7997131,72.72382355
3167,57.67306519,112.6927567,73.83578491
3200,58.00908279,111.3892212,74.67172241
3233,60.82500839,111.1767044,75.40563965
3267,63.99593735,112.6714935,75.99078369
3300,65.842659,114.1784058,76.13781738
3333,66.30722046,114.7603989,75.94006348
3367,66.29443359,114.6190414,75.72463989
3400,66.56225586,113.7753754,75.05850983
3433,66.84204102,112.7469788,73.33192444
3467,65.91808319,112.6231842,71.49424744
3500,62.90671158,113.5955276,71.03948975
3533,58.57570267,114.9472733,72.33372498
3567,55.64256287,115.7948608,74.51743317
3600,56.2483139,115.3920746,75.91953278
3633,58.89878464,114.2297592,75.53702545
3667,60.53894424,113.6995163,74.16452026
3700,60.61007309,113.9568176,73.26504517
3733,60.73077011,114.0344925,73.37637329
3767,61.88901901,113.6151657,73.96307373
3800,63.39308929,113.1815109,74.37004852
3833,63.62028122,113.1469345,74.66347504
3867,61.28713608,113.7314301,75.05654144
3900,56.87499619,114.9662476,74.93171692
3933,52.76815796,116.3704147,74.60542297
3967,51.26567841,117.1660767,75.61025238
4000,52.36827469,117.0708771,77.66819
4033,53.94796753,116.4702301,79.04753113
4067,54.46956635,115.8185501,78.95291901
4100,54.30823517,115.1617279,77.83921814
4133,53.9821434,114.6059723,76.7947998
4167,53.14244461,114.6973572,76.52296448
4200,51.79675293,115.5160904,76.45840454
4233,50.83607864,116.3662338,75.92615509
4267,51.28039551,117.0723419,75.46498108
4300,53.9331665,118.1880646,75.81807709
4333,58.220047,119.4770737,76.96375275
4367,61.88874817,119.9495697,78.2928772
4400,63.37247467,119.3527756,79.06045532
4433,63.06547165,118.1789551,79.24189758
4467,62.7989502,116.8411942,79.37497711
4500,63.85675049,115.6490936,79.70796967
4533,65.12679291,114.9902802,79.87788391
4567,64.46877289,115.0016403,79.38860321
4600,61.20592499,115.2700729,78.28528595
4633,57.67504501,115.3688583,77.18481445
4667,57.58531189,115.8929138,76.8012085
4700,60.86091232,118.2602844,77.11965179
4733,64.00489807,121.9279633,77.65090942
4767,65.50874329,123.8812866,78.85713959
4800,66.04478455,123.784996,80.94280243
4833,66.0916748,122.9894104,82.85723877
4867,65.79896545,121.1680069,83.75345612
4900,65.48892975,118.1998825,83.69966888
4933,65.44283295,115.8817291,83.25863647
4967,65.68120575,115.6364822,83.02848053
5000,65.66976166,116.5757828,82.71068573
5033,64.05788422,117.1970444,81.20669556
5067,60.35046005,117.2673645,78.57128143
5100,57.24001694,117.3098907,76.68375397
5133,57.99087524,117.1778259,77.3022995
5167,61.62398148,116.6802826,80.12392426
5200,64.59546661,116.6518707,83.31519318
5233,65.23665619,117.646019,85.11182404
5267,64.414711,118.7450409,85.25010681
5300,63.55829239,118.7876587,84.70028687
5333,63.34922028,117.8813171,84.36872864
5367,63.56488419,117.1350937,84.02578735
5400,63.07560349,117.732666,82.64192963
5433,60.34252167,119.83004,80.23612976
5467,55.03847504,122.1996231,78.07041931
5500,50.19475555,123.6025696,77.51124573
5533,50.56681442,123.7830658,79.11753082
5567,56.11699677,123.226326,81.65059662
5600,61.89060593,122.73806,83.17461395
5633,64.39795685,122.4670105,83.40396881
5667,64.00192261,121.9168854,83.25042725
5700,62.89969635,121.1644974,83.49544525
5733,62.62665939,120.482132,84.09046173
5767,62.81512451,119.7038345,83.7760849
5800,61.36371613,119.0458221,81.71355438
5833,56.41279602,119.0833359,79.14104462
5867,49.47870255,120.1484528,77.62696075
5900,45.96689224,121.5068665,77.57723236
5933,49.44203568,121.6017075,78.76720428
5967,56.91014862,120.6200867,80.89804077
6000,62.94168854,120.2775955,83.3033371
6033,65.46525574,120.5843277,85.06550598
6067,65.54423523,120.3951874,85.77206421
6100,64.6322937,120.3015976,85.54158783
6133,63.76952744,121.6794205,84.64820862
6167,63.788517,124.1244812,83.34693909
6200,64.53038788,126.2687759,81.74554443
6233,64.38844299,128.0875092,79.94261932
6267,62.4969902,129.6501465,78.04531097
6300,60.19068146,129.6883698,76.71083832
6333,59.15177917,127.5551453,77.34079742
6367,59.66986465,124.7126541,80.23358917
6400,60.92546463,123.115921,83.4497757
6433,61.87117386,122.7746201,84.6595993
6467,61.93539047,122.3013153,83.82401276
6500,61.42176819,121.9389038,82.70199585
6533,60.96596909,123.254097,82.14669037
6567,61.01338959,126.4627686,81.67344666
6600,61.58465958,130.1651459,80.99331665
6633,62.05053329,132.9067993,80.17784882
6667,61.84971237,133.846283,78.91337585
6700,61.19972992,132.9810333,77.55586243
6733,60.7398262,131.0388336,77.91770172
6767,60.89758301,128.8603821,80.33766937
6800,61.47360229,127.0378571,82.66786194
6833,61.75568008,125.6974182,83.34322357
6867,61.74598312,125.3238373,82.66757965
6900,62.47409439,126.9886551,81.71071625
6933,64.10339355,130.5724335,81.16500092
6967,65.33628845,133.9801788,80.77094269
7000,65.24221802,135.2927094,79.66304779
7033,64.29981995,135.3560638,77.83586884
7067,63.24378204,135.3543091,76.48060608
7100,62.30321503,134.467926,76.57026672
7133,61.72294235,132.3594513,77.97606659
7167,61.86162949,130.6481934,79.53282166
7200,62.63579941,130.6305847,80.12049866
7233,63.54683685,131.5400696,79.72563171
7267,64.26668549,132.3043365,79.16828918
7300,64.65880585,133.3711243,79.01086426
7333,64.63881683,135.2544861,79.00765228
7367,64.31183624,136.7904205,78.34681702
7400,64.07391357,136.653183,76.66117096
7433,64.12358856,135.89888,74.87117767
7467,63.8795166,136.5694733,74.17922974
7500,62.97543716,137.9994659,74.94281006
7533,62.18684387,137.7250061,76.85075378
7567,62.42533493,136.156662,79.09233093
7600,63.49318695,135.7016907,80.54856873
7633,64.25152588,136.3010559,80.87471771
7667,64.10517883,136.3298187,80.52220154
7700,63.66734314,136.1208038,79.87058258
7733,63.60882187,136.8079224,79.07287598
7767,63.78974533,136.7702637,78.28827667
7800,63.85093689,132.9472351,77.73261261
7833,63.72768784,126.4502563,77.38103485
7867,63.34488297,121.5857162,76.8708725
7900,62.59140396,118.792778,76.2142868
7933,61.75862503,116.3028183,76.16829681
7967,61.44865036,115.3344116,77.01538849
8000,61.77184677,117.09021,77.96167755
8033,62.22555923,119.009407,78.55986786
8067,62.40203476,118.7186356,79.07730103
8100,62.23546219,116.8050842,79.71953583
8133,62.04363632,115.2831802,80.41007233
8167,62.44626236,116.2204208,80.89590454
8200,63.43172836,120.7646866,80.71496582
8233,63.95037842,126.5291977,79.43598938
8267,63.24308395,129.8993683,77.40529633
8300,62.0248642,129.8909912,75.96766663
8333,61.71863556,127.9121628,76.36114502
8367,62.75724792,125.9858475,78.02654266
8400,64.15286255,125.1824341,79.20154572
8433,64.78915405,125.1960449,79.23914337
8467,64.56317902,125.1279449,78.87652588
8500,63.99207687,124.576355,78.9571991
8533,63.41743088,123.7051468,79.60433197
8567,62.9900322,122.9177628,79.938797
8600,62.77380371,122.7458344,78.96483612
8633,62.4970932,123.5666351,77.02523804
8667,61.83873749,125.1301956,75.50358582
8700,60.99711227,126.4419098,75.79264832
8733,60.61845398,126.5697556,78.3985672
8767,61.15842056,125.6647568,81.96554565
8800,62.21876144,124.8324585,84.32554626
8833,62.91664124,124.8011246,84.87631226
8867,62.8945961,125.1577835,84.65203094
8900,62.31116104,125.1717377,84.35058594
8933,61.46829987,124.8295059,83.56539154
8967,60.88311768,124.8209686,82.21430206
9000,60.62266159,125.7527161,80.86169434
9033,60.0761528,127.4222183,79.64620972
9067,59.17949677,128.6752167,78.37431335
9100,58.79795074,128.1533051,77.31112671
9133,59.58308792,125.8666306,77.38586426
9167,61.13357925,123.5333176,78.92886353
9200,62.24541855,122.6496964,80.71144104
9233,62.09955215,123.0738602,81.55317688
9267,60.98594666,124.0312881,81.79304504
9300,59.76877975,125.1726532,82.09485626
9333,59.23577881,125.9940033,82.49185181
9367,59.59827042,126.1012344,82.66973114
9400,60.18156815,126.1772232,82.29812622
9433,60.02991867,127.1007233,81.21629333
9467,58.93796158,128.411911,79.45111847
9500,57.77891922,128.4759369,77.74029541
9533,57.76664734,126.4865494,77.56304932
9567,59.14603043,123.6575394,79.10269928
9600,60.70788956,121.7476196,80.91326904
9633,61.12811661,120.9708328,81.83888245
9667,60.46532059,120.4452667,81.89762115
9700,59.65657806,120.1172333,81.65399933
9733,59.30899811,120.3323898,81.56578827
9767,59.60186386,120.5131683,81.50099945
9800,60.27641296,119.9460602,80.62433624
9833,60.48934555,118.8218765,78.71842194
9867,59.75786972,117.668808,77.00941467
9900,58.77350616,116.7097397,76.83815765
9933,58.49519348,115.9484711,78.19220734
9967,59.04681396,115.2882233,79.68841553
10000,59.77584839,114.840126,80.34103394
10033,60.14091492,114.4981461,80.39038086
10067,60.20181274,112.8976517,80.24158478
10100,60.11774063,108.4820404,79.9205246
10133,59.80763626,102.8529739,79.46077728
10167,59.44684601,99.46988678,79.02474976
10200,59.46571732,99.16049194,78.3833847
10233,59.66442108,100.3033066,77.31226349
10267,59.3486557,101.3606415,76.55020905
10300,58.61264038,101.5777664,77.04863739
10333,58.25137711,100.858017,78.92458344
10367,58.58686829,99.89304352,81.28501892
10400,59.29151154,99.44278717,82.56682587
10433,59.98746872,99.49497986,82.30831146
10467,60.78624344,99.60220337,81.47254944
10500,61.75786591,99.57843781,80.80664825
10533,62.04556274,99.47350311,80.22566986
10567,61.09923172,99.31027985,79.38815308
10600,59.92172623,99.112854,78.24951172
10633,59.32823181,99.18963623,77.07398987
10667,58.8303299,100.029335,76.29180908
10700,58.06726456,101.4810562,76.31775665
10733,57.57330322,102.5761795,77.0762558
10767,57.84994125,102.592865,77.71338654
10800,58.64368439,101.7863922,77.47813416
10833,59.31707001,100.9277115,76.83172607
10867,59.57430267,100.5486908,76.62910461
10900,59.53527451,100.5950928,76.79705811
10933,59.33616257,100.635231,76.61379242
10967,59.09296036,100.431076,75.96077728
11000,58.95245743,100.2206726,75.57465363
11033,58.75571823,100.4254227,75.73236847
11067,58.15670395,100.9877014,75.70588684
11100,57.40174484,101.3033829,75.10205841
11133,57.33315277,101.0642319,74.90039825
11167,58.24708176,100.6754532,76.01017761
11200,59.32584,100.6023941,77.88581848
11233,59.62496948,100.8526917,79.27787781
11267,59.11260986,101.1218491,79.47130585
11300,58.41257095,101.0264359,78.74121094
11333,58.09109497,100.4644318,78.05052185
11367,58.3587532,99.88705444,78.08342743
11400,58.91676712,99.86222076,78.46892548
11433,59.12701416,100.5313721,78.29589844
11467,58.62672424,101.6776123,76.98904419
11500,57.74079895,102.7702103,74.78120422
11533,57.10319901,103.0582352,73.37084961
11567,57.04633331,102.2684631,74.74897003
11600,57.62593842,101.1492386,78.15948486
11633,58.54569626,100.8582535,80.59002686
11667,59.054245,101.4888077,80.92867279
11700,58.82622147,101.7826385,80.30854797
11733,58.39172363,100.9125977,79.77758026
11767,58.23859024,99.75157928,79.49475098
11800,58.34406281,99.66293335,79.14472198
11833,58.50817108,100.706398,78.5429306
11867,58.44546509,101.9403534,77.72967529
11900,57.85791016,102.8636627,76.80015564
11933,56.98171997,103.3591843,76.22158813
11967,56.784832,103.1151352,77.02239227
12000,58.10975266,101.9969177,79.00351715
12033,60.33267212,100.3849487,80.00115204
12067,61.49018478,99.03082275,79.10951233
12100,60.77952957,98.44377899,78.0016098
12133,59.61659622,98.45446014,78.14820099
12167,59.40793991,98.6785965,79.06795502
12200,59.93608475,99.1508255,79.24341583
12233,60.20774841,100.1232681,78.09643555
12267,59.60495758,101.5808716,76.32315826
12300,58.21504211,102.9185028,74.8527298
12333,56.8690834,103.2314682,74.47171783
12367,56.7554245,102.1750946,75.56438446
12400,58.61449051,99.95952606,77.46348572
12433,61.79645157,97.48908997,78.83964539
12467,64.36943817,96.62880707,79.1820755
12500,65.10746765,98.24282074,79.25961304
12533,64.62174988,100.8499603,79.58126068
12567,63.97816467,102.4525299,79.41371155
12600,63.28293228,103.087616,78.20301819
12633,62.20873642,104.3924866,76.56466675
12667,60.86838531,107.1702881,75.26473999
12700,59.67576599,110.2653275,74.67217255
12733,59.07806396,111.4686127,75.07076263
12767,59.51998138,110.1136093,76.69782257
12800,61.07706833,108.0241852,78.7485199
12833,62.9017601,106.9788742,79.57620239
12867,63.75622177,106.7208176,79.03578949
12900,63.54783249,106.3318634,78.39051819
12933,63.25651932,105.9242172,78.28878021
12967,63.39245987,105.7979355,78.29504395
13000,63.60790634,105.2364731,77.6044693
13033,63.44293594,103.4075241,75.81187439
13067,62.21359634,101.1165695,73.45746613
13100,59.3243866,100.1127625,71.84733582
13133,55.67101288,100.5435104,72.00504303
13167,53.04312897,100.7359314,73.61180878
13200,52.518116,99.74056244,75.19690704
13233,53.84865952,98.55664063,75.8829422
13267,55.93979645,98.22847748,76.13954926
13300,58.02642441,98.5402832,76.33036804
13333,59.78538895,99.02066803,76.05760956
13367,60.91965866,99.71105957,75.21118927
13400,61.70116806,100.7275314,74.10096741
13433,62.57347488,101.7056351,72.68174744
13467,62.91059113,102.3003693,71.09367371
13500,61.78294754,102.8506546,70.29759216
13533,59.5619278,103.6065826,70.92990112
13567,57.6294899,104.0671539,72.54891205
13600,57.01831818,103.7577896,74.03932953
13633,57.53480148,103.1690903,74.51654053
13667,58.24579239,102.930397,74.21946716
13700,58.74246216,102.671051,74.02651215
13733,59.08334351,102.0282898,74.14827728
13767,59.16025162,101.7570648,74.07118225
13800,59.16257858,102.4988556,73.5969696
13833,59.57122803,103.6917953,72.86788177
13867,60.0378952,104.6178436,71.92424011
13900,59.6750946,105.1111298,71.34034729
13933,58.411026,105.0273514,72.01169586
13967,57.15084839,104.453949,73.79418945
14000,56.899086,103.7590103,75.5371933
14033,57.71093369,102.921875,76.36688232
14067,58.55644226,101.9914703,76.15688324
14100,58.5644722,101.448967,75.34893799
14133,57.75537491,101.4815674,74.71813965
14167,56.6984787,101.9975967,74.38525391
14200,56.29828262,102.9895935,73.45027161
14233,57.02986526,104.2696915,71.68756866
14267,57.82471085,105.5340729,70.30970001
14300,57.35585785,106.3884506,70.14323425
14333,56.2532959,106.1299896,70.98166656
14367,56.12227249,104.5177765,72.52080536
14400,57.18468094,102.5626221,74.30863953
14433,58.55719757,101.468399,75.5809021
14467,59.62435532,101.2177811,76.21235657
14500,60.2622757,100.8368378,76.51425934
14533,60.47745895,99.87073517,76.3008728
14567,60.37965012,99.07460785,75.16017914
14600,60.37292862,99.23160553,73.31487274
14633,60.6140213,100.1078033,71.92668915
14667,60.27575684,101.0838547,72.26086426
14700,58.63169098,101.8239212,73.91818237
14733,56.6740303,101.9267807,74.92395782
14767,56.55682373,100.8395386,74.93823242
14800,59.35536957,98.79711914,74.79102325
14833,63.10417175,97.11495209,74.06508636
14867,64.38087463,96.59349823,73.23743439
14900,62.42422104,96.56677246,73.39208221
14933,59.94833755,96.2305603,74.44443512
14967,59.7678566,95.53207397,75.19252777
